Date,Year,Month,Day,PM2.5,PM10,CO,SO2,NO2,1hO3,8hO3,WD,WS,Temp,RH,sea-level-pres,6hr-precip,dewpoint,visibility,City,lon,lat
3/1/13,2013,03,01,7.4849,30.1167,331,3.2976,9.2874,41.7879,41.7879,3.7598,3.5825,1.55,17.9366,328.5,0,-20.5,30,Beijing,39.914889,116.403874
3/2/13,2013,03,02,37.5232,44.5587,823,11.6097,28.3271,39.0727,39.1098,205.5417,0.7279,0.5875,28.6115,329.75,0,-16,20.875,Beijing,39.914889,116.403874
3/3/13,2013,03,03,73.2514,103.1804,"1,399",16.1962,35.3945,36.0182,35.9546,263.3637,0.7399,4.7125,33.8634,205.5,0,-11.5,13.5,Beijing,39.914889,116.403874
3/4/13,2013,03,04,23.9364,62.3145,557,6.584,23.7431,42.5939,42.5939,302.4159,0.6846,9.8,18.9682,237.375,0,-13.375,27.5,Beijing,39.914889,116.403874
3/5/13,2013,03,05,136.8411,164.839,"1,660",24.8212,46.7854,42.5939,42.5939,216.7193,0.4778,8.1375,35.1962,166.625,0,-6.875,11.5,Beijing,39.914889,116.403874
3/6/13,2013,03,06,205.7607,229.9389,"2,284",34.9368,61.217,27.4485,28.4136,108.1798,0.2087,8.6375,38.0351,132.375,0,-5.125,7.75,Beijing,39.914889,116.403874
3/7/13,2013,03,07,209.7358,251.0271,"2,958",27.7897,66.5507,42.3394,42.3394,204.2571,0.5833,9.8875,45.7853,81.875,0,-2.375,5.5,Beijing,39.914889,116.403874
3/8/13,2013,03,08,185.9921,231.0985,"2,228",19.1146,50.5482,47.1333,47.1333,104.2544,2.2572,9.7125,49.3716,53.875,0,-1.375,7.875,Beijing,39.914889,116.403874
3/9/13,2013,03,09,56.3502,161.8256,821,9.3817,19.4769,45.0121,45.0121,9.2909,3.1575,7.7125,31.3094,348.875,0,-11.5,16.375,Beijing,39.914889,116.403874
3/10/13,2013,03,10,39.1111,66.4986,623,8.015,22.8848,42.7636,42.7636,225.0073,2.7578,5.15,24.6661,267.75,0,-14.125,26.875,Beijing,39.914889,116.403874
3/11/13,2013,03,11,123.2589,151.2906,"1,296",26.98,40.4558,41.9152,41.9417,183.0293,1.8223,6.4625,39.009,196.75,0,-6.75,16.125,Beijing,39.914889,116.403874
3/12/13,2013,03,12,123.0905,60.6435,"1,355",10.5559,38.3862,28.5939,25.2947,49.8515,0.5465,5.2375,75.6783,147.375,1.5333,0.875,8.375,Beijing,39.914889,116.403874
3/13/13,2013,03,13,18.6289,26.108,427,4.4956,17.3935,39.2424,39.2424,75.3136,1.4266,4.275,33.708,287.875,0,-11.25,28.125,Beijing,39.914889,116.403874
3/14/13,2013,03,14,102.393,124.0911,"1,179",18.7507,36.764,39.2424,39.2424,197.912,1.6913,4.075,52.6123,276,0,-5.125,18.5,Beijing,39.914889,116.403874
3/15/13,2013,03,15,210.2294,219.0907,"1,791",23.9849,51.195,31.0545,31.1235,161.0106,0.836,5.875,63.2907,204,0,-0.875,6.25,Beijing,39.914889,116.403874
3/16/13,2013,03,16,232.7605,279.7307,"1,834",22.2367,45.485,48.5333,48.5121,162.4188,1.3489,9.4625,54.6827,226.5,0,0.375,5.25,Beijing,39.914889,116.403874
3/17/13,2013,03,17,285.5598,305.6378,"2,092",25.051,55.9233,49.4666,49.4171,219.7087,1.0142,9.85,63.2058,77.875,0,3,5.125,Beijing,39.914889,116.403874
3/18/13,2013,03,18,246.2987,271.1462,"1,766",20.4343,46.4932,49.4666,49.4454,33.8802,1.7177,8.2625,28.5302,71.25,0,-11.25,23.25,Beijing,39.914889,116.403874
3/19/13,2013,03,19,67.8421,71.3323,,5.9868,23.5021,,,79.7646,2.3934,2.35,67.2278,148.875,0.3,-3.25,17.625,Beijing,39.914889,116.403874
3/20/13,2013,03,20,34.6611,40.1806,"1,581",3.6011,13.9026,,,214.5656,2.2915,1.35,71.4971,234.375,2.5,-3.875,12.375,Beijing,39.914889,116.403874
3/21/13,2013,03,21,128.751,139.4032,,9.035,32.8012,,,79.9525,0.3536,4.5125,58.3272,106.375,0,-3.125,10.625,Beijing,39.914889,116.403874
3/22/13,2013,03,22,92.9723,126.8854,,9.2093,27.0232,,,183.6046,1.7105,6.1625,43.6741,177.375,0,-5.625,19.75,Beijing,39.914889,116.403874
3/23/13,2013,03,23,51.2233,78.7348,,9.6006,23.2042,,,29.1468,2.2497,4.875,44.9545,143.5,0,-7.875,17,Beijing,39.914889,116.403874
3/24/13,2013,03,24,11.7751,39.1122,,3.5585,13.3145,,,14.8212,0.3985,4.8,22.6535,222.875,0,-15.5,28.125,Beijing,39.914889,116.403874
3/25/13,2013,03,25,89.5546,49.8184,,4.6995,17.779,,,143.8941,0.9506,5.0625,41.9921,213.75,0,-7.625,16.5,Beijing,39.914889,116.403874
3/26/13,2013,03,26,175.5093,205.2446,"1,351",19.8354,42.2445,28.4278,21.0472,205.5567,2.2076,8.1125,54.3536,135.5,0,-1,11.625,Beijing,39.914889,116.403874
3/27/13,2013,03,27,96.0946,127.3077,803,5.5116,19.8927,45.2667,42.3759,25.6695,2.4416,11.4625,44.0377,106.5,0,-4.625,17.75,Beijing,39.914889,116.403874
3/28/13,2013,03,28,27.3572,54.9328,487,3.3986,16.7252,44.9272,41.6788,283.0407,1.3263,8.55,23.558,214.5,0,-12,28.125,Beijing,39.914889,116.403874
3/29/13,2013,03,29,77.2824,117.5,"1,295",15.2065,28.8794,36.4,28.9,90.9747,1.3468,6.5,42.448,221,0,-5.875,17.25,Beijing,39.914889,116.403874
3/30/13,2013,03,30,80.1641,116.9111,"1,244",17.232,25.7578,45.5933,40.5742,100.6301,2.3081,5.8875,51.7052,227.625,0,-3.625,14.75,Beijing,39.914889,116.403874
3/31/13,2013,03,31,167.158,188.2571,"1,094",7.0269,30.5015,16.7576,23.0646,76.765,1.3675,6.025,76.9306,189,0,2.25,7.75,Beijing,39.914889,116.403874
